tconst,p1,p2,p3,p4,p5,p6
tt0368909,0,0,0,0,0,0
tt0298814,0,0,0,0,0,0
tt0300471,0,0,0,0,0,0
tt0327850,0,0,0,0,0,0
tt0338337,0,0,0,0,0,0
tt0329101,0,0,0,0,0,0
tt0353969,0,0,0,0,0,0
tt0314353,0,0,0,0,0,0
tt0305357,0,0,0,0,0,0
tt0325703,0,0,0,0,0,0
tt0292506,0,0,0,0,0,0
tt0257076,0,0,0,0,0,0
tt0274166,0,0,0,0,0,0
tt0285823,0,0,0,0,0,0
tt0311429,0,0,0,0,0,0
tt0311113,0,0,0,0,0,0
tt0287978,0,0,0,0,0,0
tt0172156,0,0,0,0,0,0
tt0322259,0,0,0,0,0,0
tt0320691,0,0,0,0,0,0
tt0286716,0,0,0,0,0,0
tt0317740,0,0,0,0,0,0
tt0181852,0,0,0,0,0,0
tt0325710,0,0,0,0,0,0
tt0242653,0,0,0,0,0,0
tt0364569,0,0,0,0,0,0
tt0234215,0,0,0,0,0,0
tt0290334,0,0,0,0,0,0
tt0266697,0,0,0,0,0,0
tt0325980,0,0,0,0,0,0
tt0405821,0,0,0,0,0,0
tt0358349,0,0,0,0,0,0
tt0367631,0,0,0,0,0,0
tt0338325,0,0,0,0,0,0
tt0347332,0,0,0,0,0,0
tt0348121,0,0,0,0,0,0
tt0422091,0,0,0,0,0,0
tt0400234,0,0,0,0,0,0
tt0401233,0,0,0,0,0,0
tt0396184,0,0,0,0,0,0
tt0337103,0,0,0,0,0,0
tt0323013,0,0,0,0,0,0
tt0314063,0,0,0,0,0,0
tt0386005,0,0,0,0,0,0
tt0335121,0,0,0,0,0,0
tt0329691,0,0,0,0,0,0
tt0366174,0,0,0,0,0,0
tt0360009,0,0,0,0,0,0
tt0347473,0,0,0,0,0,0
tt0386064,0,0,0,0,0,0
tt0316732,0,0,0,0,0,0
tt0367479,0,0,0,0,0,0
tt0377062,0,0,0,0,0,0
tt0403358,0,0,0,0,0,0
tt0390022,0,0,0,0,0,0
tt0414852,0,0,0,0,0,0
tt0351977,0,0,0,0,0,0
tt0317648,0,0,0,0,0,0
tt0346156,0,0,0,0,0,0
tt0327437,0,0,0,0,0,0
tt0337921,0,0,0,0,0,0
tt0385004,0,0,0,0,0,0
tt0327554,0,0,0,0,0,0
tt0373074,0,0,0,0,0,0
tt0330793,0,0,0,0,0,0
tt0372588,0,0,0,0,0,0
tt0349683,0,0,0,0,0,0
tt0346491,0,0,0,0,0,0
tt0375912,0,0,0,0,0,0
tt0359013,0,0,0,0,0,0
tt0362270,0,0,0,0,0,0
tt0370263,0,0,0,0,0,0
tt0318627,0,0,0,0,0,0
tt0296572,0,0,0,0,0,0
tt0363547,0,0,0,0,0,0
tt0338526,0,0,0,0,0,0
tt0368891,0,0,0,0,0,0
tt0167190,0,0,0,0,0,0
tt0328107,0,0,0,0,0,0
tt0319262,0,0,0,0,0,0
tt0372183,0,0,0,0,0,0
tt0343818,0,0,0,0,0,0
tt0316654,0,0,0,0,0,0
tt0317705,0,0,0,0,0,0
tt0378194,0,0,0,0,0,0
tt0365847,0,0,0,0,0,0
tt0389957,0,0,0,0,0,0
tt0432047,0,0,0,0,0,0
tt0402057,0,0,0,0,0,0
tt0318081,0,0,0,0,0,0
tt0326905,0,0,0,0,0,0
tt0399327,0,0,0,0,0,0
tt0424774,0,0,0,0,0,0
tt0426459,0,0,0,0,0,0
tt0456912,0,0,0,0,0,0
tt0383222,0,0,0,0,0,0
tt0402901,0,0,0,0,0,0
tt0427954,0,0,0,0,0,0
